gene_name	Arg1_DT318_3h_1	Arg1_DT318_3h_2	Arg1_DT318_3h_3	WT_3h_1	WT_3h_2	WT_3h_3	WT_DT318_3h_1	WT_DT318_3h_2	WT_DT318_3h_3
CNAG_01397	3586	3011	3307	1755	1939	2037	3679	2924	2697
CNAG_05539	1033	1031	960	1008	1088	1204	1332	1093	1007
CNAG_06307	145	143	148	35	45	59	82	63	64
CNAG_07556	718	726	724	731	742	764	854	784	683
CNAG_06796	1175	1104	1296	1257	1319	1529	1290	1230	1214
CNAG_00830	918	775	865	1127	1168	1332	730	767	712
CNAG_06009	1473	1239	1448	370	426	434	1076	1259	1091
CNAG_04724	3773	3234	3450	2899	3090	3244	2568	2587	2521
CNAG_01965	129	94	122	30	25	21	64	46	53
CNAG_04368	1061	940	986	1002	1098	1217	1046	954	861
CNAG_02166	7255	6320	7080	10798	10816	12247	9264	8529	9148
CNAG_02578	703	599	587	406	431	502	1019	794	772
CNAG_02054	947	834	881	598	542	622	1657	1274	1265
CNAG_01718	1239	1284	1364	838	921	1023	939	860	794
CNAG_07322	2927	2482	2661	2366	2576	2791	3665	3410	3069
CNAG_05527	3120	2636	3020	2364	2389	2747	2459	2422	2245
CNAG_00716	32968	27039	32252	22332	23282	23595	39677	29448	26504
CNAG_12158	24	27	27	2	3	2	13	14	9
CNAG_03300	1225	981	1189	492	457	462	1307	1021	1020
CNAG_01334	1886	1586	1781	1000	1126	1211	5375	4430	3901
CNAG_13204	808	762	753	1205	1260	1372	1143	1126	973
CNAG_04456	1032	848	925	771	820	882	930	874	811
CNAG_06493	920	1032	905	305	405	513	1540	1470	1404
CNAG_02174	3363	3164	3567	3429	3502	3888	3547	3081	3426
CNAG_10057	25	9	20	1	0	0	2	2	2
CNAG_03482	25422	20401	24272	8884	10266	9719	18605	16616	15487
CNAG_00825	1349	1181	1250	1396	1590	1665	1418	1309	1234
CNAG_06405	1148	1107	1162	934	993	1093	1274	1057	978
CNAG_12971	63	47	70	19	32	30	59	56	47
CNAG_06178	2939	2935	3288	3098	3404	3795	3540	3598	3276
CNAG_00789	506	423	523	147	140	111	1242	1008	862
CNAG_05299	448	524	460	508	526	614	416	485	474
CNAG_02951	462	405	425	291	402	468	625	510	417
CNAG_03432	994	993	1042	1577	1639	1868	1329	1450	1380
CNAG_12298	47	66	62	34	25	29	30	27	30
CNAG_03332	1585	1446	1438	1138	1110	1129	1774	1380	1144
CNAG_13035	77	79	89	28	22	30	29	19	22
CNAG_13023	33	59	45	17	22	31	38	47	27
CNAG_03465	731	528	700	891	1057	881	2162	2391	2814
