gene_name	log2FoldChange
CNAG_06623 (MIOX)	2.14785
CNAG_01539 (MIPS)	1.93133
ARG1	1.25203
ARG2	1.13209
CNAG_03277	0.58899
PLC1	0.57387
FIG4	0.48624
CNAG_05320	0.38639
CNAG_05316	0.36756
INM101	0.20627
PLC2	0.20570
FAB1	0.07486
CNAG_03821	0.01510
CNAG_05384	0.01058
CNAG_06530	-0.07888
CNAG_05321	-0.12400
IPK1	-0.19652
CNAG_05329	-0.21664
INM1	-0.32336
CNAG_04335	-0.32485
CNAG_00388	-0.33358
INP52	-0.36803
SAC1	-0.44400
TEP1	-0.46814
PIK1	-0.56364
YMR1	-0.62311
VRK1	-0.81564
SAC101	-0.89201
INP5203	-1.39020
